source_mat_id,arr_date_hq,arr_date_seq,collection_date,depth,env_material,failure,failure_comment,investigation_type,long_store,membr_cut,replicate,samp_collect_device,samp_description,samp_mat_process,samp_mat_process_dev,samp_size_vol,samp_store_date,samp_store_loc,samp_store_temp,sampl_person,sampling_event,ship_date,ship_date_seq,size_frac,size_frac_low,size_frac_up,source_mat_id_orig,store_person,store_temp_hq,tax_id,time_fi,noteworthy_env_cond,other_person,other_person_orcid,sampl_person_orcid,store_person_orcid,tidal_stage
EMOBON_NRMCB_Wa_1,2021-10-20,2021-11-24,2021-06-21,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,1,Niskin,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction 3-200um,Wa SOP1,no DNA Shield. shipped in dry ice,5.0,2021-06-21,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210621,2021-10-18,2021-11-24,3-200,3.0,200.0,EMOBON_NRMCBWa_20210621_3um_1,Casotti,-70.0,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_12,,,2021-06-21,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,blank_2,Niskin,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction 0.2-3um,Wa SOP1,,5.0,2021-06-21,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210621,,,0.2-3,0.2,3.0,EMOBON_NRMCBWa_20210621_0.22um_(blank),Casotti,,256318,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_13,2021-10-20,,2021-06-21,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,1,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction >20um,Wa SOP2,samples shipped and returned,,2021-06-21,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210621,2021-10-18,,>20,20.0,,EMOBON_NRMCBWa2_20210621_20um_1,Casotti,-70.0,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_14,2021-10-20,,2021-06-21,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,2,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction >20um,Wa SOP2,samples shipped and returned,,2021-06-21,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210621,2021-10-18,,>20,20.0,,EMOBON_NRMCBWa2_20210621_20um_2,Casotti,-70.0,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_15,,,2021-06-21,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,3,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction >20um,Wa SOP2,,,2021-06-21,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210621,,,>20,20.0,,EMOBON_NRMCBWa2_20210621_20um_3,Casotti,,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_16,,,2021-06-21,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,4,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction >20um,Wa SOP2,,,2021-06-21,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210621,,,>20,20.0,,EMOBON_NRMCBWa2_20210621_20um_4,Casotti,,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_17,2021-10-20,,2021-06-21,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,blank_1,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction >20um,Wa SOP2,,,2021-06-21,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210621,2021-10-18,,>20,20.0,,EMOBON_NRMCBWa2_20210621_20um_(blank),Casotti,-70.0,256318,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_18,2021-10-20,,2021-06-21,70,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,1,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction >200um,Wa SOP3,samples shipped and returned,,2021-06-21,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210621,2021-10-18,,>200,200.0,,EMOBON_NRMCBWa3_20210621_200um_1,Casotti,-70.0,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_19,2021-10-20,,2021-06-21,70,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,2,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction >200um,Wa SOP3,samples shipped and returned,,2021-06-21,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210621,2021-10-18,,>200,200.0,,EMOBON_NRMCBWa3_20210621_200um_2,Casotti,-70.0,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_20,,,2021-06-21,70,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,3,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction >200um,Wa SOP3,,,2021-06-21,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210621,,,>200,200.0,,EMOBON_NRMCBWa3_20210621_200um_3,Casotti,,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_21,,,2021-06-21,70,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,4,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction >200um,Wa SOP3,,,2021-06-21,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210621,,,>200,200.0,,EMOBON_NRMCBWa3_20210621_200um_4,Casotti,,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_22,,,2021-06-21,70,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,blank_1,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction >200um,Wa SOP3,,,2021-06-21,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210621,,,>200,200.0,,EMOBON_NRMCBWa3_20210621_200um_(blank),Casotti,,256318,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_23,2021-10-20,2021-11-24,2021-08-31,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,1,Niskin,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction 3-200um,Wa SOP1,,5.0,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,2021-10-18,2021-11-24,3-200,3.0,,EMOBON_NRMCBWa_20210831_3um_1,Casotti,-70.0,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_24,2021-10-20,2021-11-24,2021-08-31,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,2,Niskin,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction 3-200um,Wa SOP1,,5.0,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,2021-10-18,2021-11-24,3-200,3.0,,EMOBON_NRMCBWa_20210831_3um_2,Casotti,-70.0,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_25,,,2021-08-31,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,Niskin,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction 3-200um,Wa SOP1,,5.0,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,,,3-200,3.0,,EMOBON_NRMCBWa_20210831_3um_3,Casotti,,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_26,,,2021-08-31,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,Niskin,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction 3-200um,Wa SOP1,,5.0,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,,,3-200,3.0,,EMOBON_NRMCBWa_20210831_3um_4,Casotti,,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_27,2021-10-20,2021-11-24,2021-08-31,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,blank_1,Niskin,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction 3-200um,Wa SOP1,,5.0,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,2021-10-18,2021-11-24,3-200,3.0,,EMOBON_NRMCBWa_20210831_3um_(blank),Casotti,-70.0,256318,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_28,2021-10-20,2021-11-24,2021-08-31,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,1,Niskin,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction 0.2-3um,Wa SOP1,,5.0,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,2021-10-18,2021-11-24,0.2-3,0.2,3.0,EMOBON_NRMCBWa_20210831_0.22um_1,Casotti,-70.0,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_29,2021-10-20,2021-11-24,2021-08-31,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,2,Niskin,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction 0.2-3um,Wa SOP1,,5.0,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,2021-10-18,2021-11-24,0.2-3,0.2,3.0,EMOBON_NRMCBWa_20210831_0.22um_2,Casotti,-70.0,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_30,,,2021-08-31,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,Niskin,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction 0.2-3um,Wa SOP1,,5.0,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,,,0.2-3,0.2,3.0,EMOBON_NRMCBWa_20210831_0.22um_3,Casotti,,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_31,,,2021-08-31,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,Niskin,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction 0.2-3um,Wa SOP1,,5.0,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,,,0.2-3,0.2,3.0,EMOBON_NRMCBWa_20210831_0.22um_4,Casotti,,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_32,2021-10-20,2021-11-24,2021-08-31,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,blank_1,Niskin,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction 0.2-3um,Wa SOP1,,5.0,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,2021-10-18,2021-11-24,0.2-3,0.2,3.0,EMOBON_NRMCBWa_20210831_0.22um_(blank),Casotti,-70.0,256318,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_33,2021-10-20,,2021-08-31,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,N,1,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction >20um,Wa SOP2,samples shipped and returned,,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,2021-10-18,,>20,20.0,,EMOBON_NRMCBWa2_20210831_20um_1,Casotti,-70.0,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_34,2021-10-20,,2021-08-31,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,N,2,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction >20um,Wa SOP2,samples shipped and returned,,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,2021-10-18,,>20,20.0,,EMOBON_NRMCBWa2_20210831_20um_2,Casotti,-70.0,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_35,,,2021-08-31,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,3,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction >20um,Wa SOP2,,,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,,,>20,20.0,,EMOBON_NRMCBWa2_20210831_20um_3,Casotti,,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_36,,,2021-08-31,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,4,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction >20um,Wa SOP2,,,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,,,>20,20.0,,EMOBON_NRMCBWa2_20210831_20um_4,Casotti,,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_37,2021-10-20,,2021-08-31,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,N,blank_1,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction >20um,Wa SOP2,,,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,2021-10-18,,>20,20.0,,EMOBON_NRMCBWa2_20210831_20um_(blank),Casotti,-70.0,256318,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_38,2021-10-20,,2021-08-31,70,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,N,1,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction >200um,Wa SOP2,samples shipped and returned,,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,2021-10-18,,>200,200.0,,EMOBON_NRMCBWa2_20210831_200um_1,Casotti,-70.0,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_39,2021-10-20,,2021-08-31,70,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,N,2,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction >200um,Wa SOP3,samples shipped and returned,,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,2021-10-18,,>200,200.0,,EMOBON_NRMCBWa2_20210831_200um_2,Casotti,-70.0,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_40,,,2021-08-31,70,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,3,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction >200um,Wa SOP3,,,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,,,>200,200.0,,EMOBON_NRMCBWa2_20210831_200um_3,Casotti,,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_41,,,2021-08-31,70,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,4,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction >200um,Wa SOP3,,,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,,,>200,200.0,,EMOBON_NRMCBWa2_20210831_200um_4,Casotti,,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_42,2021-10-20,,2021-08-31,70,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,N,blank_1,Net,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction >200um,Wa SOP3,,,2021-08-31,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_210831,2021-10-18,,>200,200.0,,EMOBON_NRMCBWa2_20210831_200um_(blank),Casotti,-70.0,256318,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_43,2022-02-10,2022-02-23,2021-10-26,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,1,Niskin,EMOBON metagenome water sample from station NRMCB collected on 2021-10-26 size fraction 3-200um,Wa SOP1,,5.0,2021-10-26,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_211026,2022-02-09,2022-02-22,3-200,3.0,200.0,EMOBON_NRMCBWa_20211026_3um_1,Casotti,-70.0,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_44,2022-02-10,2022-02-23,2021-10-26,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,2,Niskin,EMOBON metagenome water sample from station NRMCB collected on 2021-10-26 size fraction 3-200um,Wa SOP1,,5.0,2021-10-26,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_211026,2022-02-09,2022-02-22,3-200,3.0,200.0,EMOBON_NRMCBWa_20211026_3um_2,Casotti,-70.0,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
EMOBON_NRMCB_Wa_45,,,2021-10-26,0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,Niskin,EMOBON metagenome water sample from station NRMCB collected on 2021-10-26 size fraction 3-200um,Wa SOP1,,5.0,2021-10-26,Casotti minus80,-80,Raffaella Casotti,NRMCB_Wa_211026,,,3-200,3.0,200.0,EMOBON_NRMCBWa_20211026_3um_3,Casotti,,1874687,3,,Anna Chiara Trano,,0000-0002-9876-4601,0000-0002-9876-4601,no_tide
